,user,song,timestamp
0,user_007XIjOr,DaTQ53TUmfP93FSr,2019-02-20 12:28
1,user_007XIjOr,dGeyvi5WCOjDU7da,2019-02-20 12:35
2,user_007XIjOr,qUm54NYOjeFhmKYx,2019-02-20 12:48
3,user_007XIjOr,FtnuMT1DlevSR2n5,2019-02-20 12:52
4,user_007XIjOr,LHETTZcSZLeaVOGh,2019-02-20 13:09
5,user_007XIjOr,LHETTZcSZLeaVOGh,2019-02-20 13:13
6,user_007XIjOr,zXMHUt57MEYgpgIz,2019-02-20 13:33
7,user_007XIjOr,zXMHUt57MEYgpgIz,2019-02-20 13:39
8,user_007XIjOr,zXMHUt57MEYgpgIz,2019-02-20 13:45
9,user_007XIjOr,zXMHUt57MEYgpgIz,2019-02-20 13:51
10,user_007XIjOr,zXMHUt57MEYgpgIz,2019-02-20 13:58
11,user_007XIjOr,QDtAFWCvEaRwFPnC,2019-02-20 14:15
12,user_007XIjOr,MFVaxfkxZAUc4C8U,2019-02-20 14:20
13,user_007XIjOr,DhLocRBlCrB5ikDO,2019-02-20 15:01
14,user_007XIjOr,zkJb2QRrowAMNqvr,2019-02-20 18:46
15,user_007XIjOr,iMZ6ZUqtQlUVG0oW,2019-02-21 00:04
16,user_007XIjOr,lHdsYHWV2aB5qYvE,2019-02-21 00:15
17,user_007XIjOr,D098jupnftqfLnvL,2019-02-21 00:29
18,user_007XIjOr,dwpODe8SVpfU7u1W,2019-02-21 00:33
19,user_007XIjOr,jH2ACbKWbK1AlGLB,2019-02-21 00:39
20,user_007XIjOr,w0g2sXVHkMs8yf7f,2019-02-21 00:45
21,user_007XIjOr,oXHT1WCf69NZYQJL,2019-02-21 12:16
22,user_007XIjOr,0ORX2bCMpR9I1YZd,2019-02-21 12:36
23,user_007XIjOr,iMZ6ZUqtQlUVG0oW,2019-02-21 12:45
24,user_007XIjOr,jH2ACbKWbK1AlGLB,2019-02-21 12:49
25,user_007XIjOr,caewzR0EeXtTWq4E,2019-02-21 12:55
26,user_007XIjOr,xGNVM25u6MnQf9g0,2019-02-21 13:27
27,user_007XIjOr,wVFEW3St3t8bbghq,2019-02-21 13:34
28,user_007XIjOr,MavllxpotTZ9M7S1,2019-02-21 13:40
29,user_007XIjOr,zXMHUt57MEYgpgIz,2019-02-21 13:49
30,user_007XIjOr,wcpHYQZcWNPAltLN,2019-02-21 13:56
31,user_007XIjOr,FtnuMT1DlevSR2n5,2019-02-21 14:35
32,user_007XIjOr,REKJsH4zfBvprrZ5,2019-02-21 14:39
33,user_007XIjOr,V5cDNRj1C5k7sgCB,2019-02-21 14:44
34,user_007XIjOr,sFjtquf2sdK7R1ee,2019-02-21 14:49
35,user_007XIjOr,sFjtquf2sdK7R1ee,2019-02-21 14:56
36,user_007XIjOr,sFjtquf2sdK7R1ee,2019-02-21 15:03
37,user_007XIjOr,sFjtquf2sdK7R1ee,2019-02-21 15:09
